classification report               precision    recall  f1-score   support
           8       0.77      0.62      0.69        95
           9       0.58      0.48      0.53       106
          10       0.57      0.67      0.62        48
          11       1.00      0.09      0.17        11

    accuracy                           0.63       589
   macro avg       0.75      0.58      0.61       589
weighted avg       0.66      0.63      0.62       589
classification report              precision    recall  f1-score   support

           1       1.00      0.25      0.40        16
           2       1.00      0.75      0.86         8
           3       0.60      0.75      0.67        83
           4       0.54      0.92      0.68        63
           5       0.90      0.90      0.90        21
           6       0.72      0.61      0.66       100
           7       0.42      0.58      0.49        38
           8       0.82      0.57      0.67        95
           9       0.51      0.58      0.54       106
          10       0.96      0.50      0.66        48
          11       0.00      0.00      0.00        11

    accuracy                           0.63       589
   macro avg       0.68      0.58      0.59       589
weighted avg       0.67      0.63      0.62       589
classification report              precision    recall  f1-score   support

           1       1.00      0.19      0.32        16
           2       1.00      0.75      0.86         8
           3       0.47      0.94      0.63        83
           4       0.71      0.87      0.79        63
           5       0.85      0.81      0.83        21
           6       0.84      0.47      0.60       100
           7       0.41      0.53      0.46        38
           8       0.61      0.78      0.68        95
           9       0.60      0.28      0.38       106
          10       0.83      0.71      0.76        48
          11       0.00      0.00      0.00        11

    accuracy                           0.62       589
   macro avg       0.67      0.58      0.57       589
weighted avg       0.66      0.62      0.60       589
